Signature: 2/4, Ticks per Beat: 8
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,875;-1;0;2;6;57;0,124;-1;2,0;0;0;0;0;0;0
1,0;-1;1;1;0;62;0,124;-1;2,0;0;0;0;0;0;0
1,125;-1;1;1;2;61;0,124;-1;2,0;0;0;0;0;0;0
1,25;-1;1;1;4;62;0,124;-1;2,0;0;0;0;0;0;0
1,375;-1;1;1;6;61;0,124;-1;2,0;0;0;0;0;0;0
1,5;-1;1;2;0;62;0,124;-1;2,0;0;0;0;0;0;0
1,625;-1;1;2;2;61;0,124;-1;2,0;0;0;0;0;0;0
1,75;-1;1;2;4;62;0,0615;-1;1,0;0;0;0;0;0;0
1,8125;-1;1;2;5;64;0,0615;-1;1,0;0;0;0;0;0;0
1,875;-1;1;2;6;66;0,0615;-1;1,0;0;0;0;0;0;0
1,9375;-1;1;2;7;67;0,0615;-1;1,0;0;0;0;0;0;0
2,0;-1;2;1;0;69;0,124;-1;2,0;0;0;0;0;0;0
2,125;-1;2;1;2;68;0,124;-1;2,0;0;0;0;0;0;0
2,25;-1;2;1;4;69;0,124;-1;2,0;0;0;0;0;0;0
2,375;-1;2;1;6;71;0,124;-1;2,0;0;0;0;0;0;0
2,5;-1;2;2;0;69;0,249;-1;4,0;0;0;0;0;0;0
2,875;-1;2;2;6;70;0,124;-1;2,0;0;0;0;0;0;0
3,0;-1;3;1;0;71;0,124;-1;2,0;0;0;0;0;0;0
3,125;-1;3;1;2;70;0,124;-1;2,0;0;0;0;0;0;0
3,25;-1;3;1;4;71;0,124;-1;2,0;0;0;0;0;0;0
3,375;-1;3;1;6;67;0,124;-1;2,0;0;0;0;0;0;0
3,5;-1;3;2;0;69;0,124;-1;2,0;0;0;0;0;0;0
3,625;-1;3;2;2;68;0,124;-1;2,0;0;0;0;0;0;0
3,75;-1;3;2;4;69;0,124;-1;2,0;0;0;0;0;0;0
3,875;-1;3;2;6;66;0,124;-1;2,0;0;0;0;0;0;0
4,0;-1;4;1;0;67;0,124;-1;2,0;0;0;0;0;0;0
4,125;-1;4;1;2;66;0,124;-1;2,0;0;0;0;0;0;0
4,25;-1;4;1;4;67;0,124;-1;2,0;0;0;0;0;0;0
4,375;-1;4;1;6;64;0,124;-1;2,0;0;0;0;0;0;0
4,5;-1;4;2;0;66;0,124;-1;2,0;0;0;0;0;0;0
4,625;-1;4;2;2;62;0,124;-1;2,0;0;0;0;0;0;0
4,75;-1;4;2;4;64;0,124;-1;2,0;0;0;0;0;0;0
4,875;-1;4;2;6;57;0,124;-1;2,0;0;0;0;0;0;0
5,0;-1;5;1;0;62;0,124;-1;2,0;0;0;0;0;0;0
